Company Tickers,P/E Current,P/E Ratio (w/ extraordinary items),P/E Ratio (w/o extraordinary items),Price to Sales Ratio,Price to Book Ratio,Price to Cash Flow Ratio,Enterprise Value to EBITDA,Enterprise Value to Sales,Total Debt to Enterprise Value,Revenue/Employee,Income Per Employeee,Receivables Turnover,Total Asset Turnover,Current Ratio,Quick Ratio,Cash Ratio,Gross Margin,Operating Margin,Pretax Margin,Net Margin,Return on Assets,Return on Equity,Return on Total Capital,Return on Invested Capital,Total Debt to Total Equity,Total Debt to Total Capital,Total Debt to Total Assets,Long-Term Debt to Equity,Long-Term Debt to Total Capital
AAP,21.21,21.94,25.12,1.41,4.75,13.91,13.34,1.41,N/A,N/A,N/A,N/A,0.92,1.21,0.31,0.12,44.59%,8.21%,7.33%,5.60%,5.13%,18.42%,12.87%,N/A,N/A,N/A,31.47,N/A,N/A
AES,N/A,N/A,N/A,1.45,8.21,8.51,9.48,2.91,N/A,N/A,N/A,N/A,0.33,1.13,1.00,0.31,24.35%,22.86%,-9.55%,-3.71%,-1.22%,-10.92%,10.06%,N/A,N/A,N/A,57.68,N/A,N/A
AFL,10.02,9.47,9.14,1.79,1.15,7.82,7.67,2.03,N/A,N/A,N/A,N/A,0.13,0.71,N/A,N/A,N/A,25.37%,24.07%,19.56%,2.57%,12.95%,13.43%,N/A,N/A,N/A,4.84,N/A,N/A
A,33.88,31.83,39.96,7.65,8.83,32.56,24.42,6.32,N/A,N/A,N/A,N/A,0.62,2.22,1.74,0.92,54.17%,21.63%,21.52%,19.15%,11.90%,23.58%,17.40%,N/A,N/A,N/A,27.19,N/A,N/A
APD,29.71,26.40,28.09,5.52,4.19,17.09,17.68,5.22,0.14,"$494,477","$97,188.00",5.96,0.40,2.99,2.83,2.07,30.37%,21.44%,24.29%,19.65%,7.80%,15.84%,10.28%,9.89%,60.70,37.77,30.60,56.53,35.18
AKAM,24.41,26.84,29.78,5.61,4.15,13.82,12.64,4.80,N/A,N/A,N/A,N/A,0.44,2.37,2.37,1.36,59.58%,23.32%,21.04%,18.83%,8.20%,14.84%,11.20%,N/A,N/A,N/A,35.13,N/A,N/A
ALK,12.56,29.09,13.82,1.07,1.73,6.41,139.42,0.85,N/A,N/A,N/A,N/A,0.41,0.98,0.97,0.78,5.44%,-5.57%,10.18%,7.74%,3.17%,14.08%,-4.32%,N/A,N/A,N/A,27.31,N/A,N/A
ALB,265.32,125.77,220.29,8.19,4.86,79.13,44.61,8.10,N/A,N/A,N/A,N/A,0.31,1.07,0.64,0.23,30.30%,16.01%,4.02%,3.72%,1.15%,2.50%,6.44%,N/A,N/A,N/A,23.26,N/A,N/A
ARE,44.52,94.12,58.36,15.55,2.18,32.55,27.56,15.48,N/A,N/A,N/A,N/A,0.08,N/A,N/A,N/A,31.67%,24.51%,30.95%,26.65%,2.12%,4.04%,2.06%,N/A,N/A,N/A,31.66,N/A,N/A
ALGN,29.82,36.67,67.82,13.25,14.28,44.65,19.36,5.40,N/A,N/A,N/A,N/A,0.73,1.30,1.18,0.61,74.72%,24.70%,25.61%,19.53%,14.33%,22.52%,27.63%,N/A,N/A,N/A,2.11,N/A,N/A
