Company Tickers,P/E Current,P/E Ratio (w/ extraordinary items),P/E Ratio (w/o extraordinary items),Price to Sales Ratio,Price to Book Ratio,Price to Cash Flow Ratio,Enterprise Value to EBITDA,Enterprise Value to Sales,Total Debt to Enterprise Value,Revenue/Employee,Income Per Employeee,Receivables Turnover,Total Asset Turnover,Current Ratio,Quick Ratio,Cash Ratio,Gross Margin,Operating Margin,Pretax Margin,Net Margin,Return on Assets,Return on Equity,Return on Total Capital,Return on Invested Capital,Total Debt to Total Equity,Total Debt to Total Capital,Total Debt to Total Assets,Long-Term Debt to Equity,Long-Term Debt to Total Capital
ES,26.29,24.33,25.69,3.18,2.15,15.98,15.73,4.78,N/A,N/A,N/A,N/A,0.21,0.56,0.51,0.01,2862.00,2021.00,1594.00,1237.00,258.00,852.00,592.00,N/A,N/A,N/A,41.92,N/A,N/A
EXC,26.52,17.07,33.18,1.44,1.64,18.79,7.19,2.95,N/A,N/A,N/A,N/A,0.30,0.87,0.75,0.10,2124.00,1675.00,562.00,434.00,130.00,509.00,855.00,N/A,N/A,N/A,32.71,N/A,N/A
EXPE,N/A,53.94,N/A,3.15,13.67,7.22,19.27,1.94,N/A,N/A,N/A,N/A,0.43,0.87,0.87,0.64,7283.00,304.00,-44.00,14.00,6.00,52.00,206.00,N/A,N/A,N/A,41.24,N/A,N/A
EXPD,12.96,11.62,16.25,1.39,6.43,26.48,8.53,0.88,N/A,N/A,N/A,N/A,2.64,1.52,1.52,0.46,1423.00,1156.00,1165.00,857.00,2258.00,4600.00,5403.00,N/A,N/A,N/A,6.15,N/A,N/A
EXR,34.22,32.21,36.60,20.13,9.74,33.33,33.13,19.51,N/A,N/A,N/A,N/A,0.16,N/A,N/A,N/A,5756.00,5108.00,5507.00,5053.00,802.00,2814.00,844.00,N/A,N/A,N/A,60.30,N/A,N/A
XOM,17.44,10.22,11.35,0.93,1.54,5.44,9.05,1.22,N/A,N/A,N/A,N/A,0.84,1.04,0.71,0.12,2410.00,991.00,1113.00,821.00,686.00,1415.00,1193.00,N/A,N/A,N/A,15.65,N/A,N/A
FFIV,32.35,30.39,37.24,4.74,5.11,17.70,15.91,3.77,0.06,402943.00,51268.00,5.26,0.54,1.13,1.12,0.65,7946.00,1713.00,1486.00,1272.00,685.00,1443.00,1467.00,1114.00,30.31,23.26,14.31,27.40,21.03
FDS,42.57,43.39,36.70,9.21,14.07,24.52,29.07,9.62,0.06,146111.00,36687.00,10.39,0.74,2.96,2.96,2.27,6630.00,2979.00,2938.00,2511.00,1855.00,4178.00,2594.00,2224.00,85.22,46.01,38.93,82.11,44.33
FAST,34.80,31.23,39.97,6.15,12.12,48.01,23.38,4.94,N/A,N/A,N/A,N/A,1.45,4.19,1.95,0.35,4354.00,2025.00,2009.00,1539.00,2239.00,3203.00,3448.00,N/A,N/A,N/A,14.81,N/A,N/A
FRT,34.25,32.58,41.81,11.48,4.43,22.24,23.65,12.78,N/A,N/A,N/A,N/A,0.12,N/A,N/A,N/A,3861.00,3318.00,2929.00,2834.00,342.00,1032.00,421.00,N/A,N/A,N/A,57.19,N/A,N/A
FDX,16.07,15.77,15.64,0.64,2.34,6.08,8.60,0.97,N/A,N/A,N/A,N/A,1.11,1.43,1.38,0.48,2157.00,698.00,524.00,408.00,453.00,1555.00,1063.00,N/A,N/A,N/A,43.25,N/A,N/A
FITB,10.05,11.30,11.68,3.80,1.48,12.71,9.57,4.17,N/A,N/A,N/A,N/A,0.04,0.42,N/A,N/A,N/A,4174.00,4319.00,3393.00,133.00,1219.00,899.00,N/A,N/A,N/A,6.31,N/A,N/A
FRC,22.05,20.81,26.96,7.01,3.02,16.14,12.06,4.18,N/A,N/A,N/A,N/A,0.03,1.83,N/A,N/A,N/A,3446.00,3446.00,2786.00,91.00,1069.00,745.00,N/A,N/A,N/A,3.79,N/A,N/A
FE,18.04,17.11,18.37,2.04,2.73,8.08,13.45,3.97,N/A,N/A,N/A,N/A,0.25,0.73,0.67,0.34,2623.00,1659.00,1400.00,1113.00,276.00,1557.00,570.00,N/A,N/A,N/A,53.19,N/A,N/A
FIS,152.08,73.75,162.55,4.88,1.40,14.09,13.23,5.63,N/A,N/A,N/A,N/A,0.17,0.74,0.74,0.14,3744.00,1515.00,569.00,300.00,50.00,86.00,304.00,N/A,N/A,N/A,25.17,N/A,N/A
FISV,55.06,35.10,52.25,4.30,2.18,16.80,16.40,5.36,N/A,N/A,N/A,N/A,0.22,1.03,1.03,0.05,4986.00,1546.00,1027.00,822.00,177.00,422.00,462.00,N/A,N/A,N/A,28.82,N/A,N/A
FLT,22.80,18.97,22.41,6.64,6.16,15.72,13.82,6.68,N/A,N/A,N/A,N/A,0.23,1.04,1.04,0.43,7166.00,4483.00,3913.00,2963.00,683.00,2698.00,1519.00,N/A,N/A,N/A,45.34,N/A,N/A
FMC,19.73,20.63,19.32,2.81,4.56,17.31,12.64,3.13,N/A,N/A,N/A,N/A,0.49,1.40,1.00,0.15,4363.00,2341.00,1772.00,1591.00,773.00,2679.00,1843.00,N/A,N/A,N/A,31.53,N/A,N/A
